timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
46086023,2040,20,5,5,5,3,0.0
46087023,1967,19,6,7,8,7,0.001
46088023,1921,21,7,8,6,10,0.002
46089023,1920,24,7,8,6,9,0.003
46090023,1922,23,7,6,9,7,0.004
46091023,1828,18,7,6,9,8,0.005
46092023,1829,22,7,7,7,10,0.006
46093023,1855,25,7,7,6,7,0.007
46094023,1954,26,6,5,4,4,0.008
46095023,2027,25,7,5,6,9,0.009
46096023,2066,24,7,7,7,7,0.01
46097023,2131,25,5,4,5,2,0.011
46098023,2149,24,4,6,5,4,0.012
46099023,2145,22,7,5,3,5,0.013
46100023,2207,24,3,5,5,2,0.014
46101023,2319,27,7,4,5,4,0.015
46102023,2335,24,3,5,5,5,0.016
46103023,2288,21,6,6,7,7,0.017
46104023,2176,19,4,4,5,5,0.018
46105023,2088,19,7,7,8,4,0.019
46106023,2074,21,6,5,5,7,0.02
46107023,1960,19,7,6,9,7,0.021
46108023,1927,21,7,7,7,10,0.022
46109023,1934,23,7,8,6,9,0.023
46110023,1907,22,8,7,9,7,0.024
46111023,1847,19,6,7,8,8,0.025
46112023,1823,21,5,4,7,11,0.026
46113023,1844,21,6,9,7,9,0.027
46114023,1967,28,7,6,9,4,0.028
46115023,2026,24,5,4,3,8,0.029
46116023,2048,24,5,4,4,5,0.03
46117023,2114,26,5,4,5,5,0.031
46118023,2144,22,4,5,6,6,0.032
46119023,2171,23,3,6,7,4,0.033
46120023,2204,22,6,5,4,2,0.034
46121023,2304,24,5,5,6,5,0.035
46122023,2324,25,6,7,6,4,0.036
46123023,2304,22,6,6,5,3,0.037
46124023,2176,19,4,5,3,6,0.038
46125023,2088,20,4,4,5,4,0.039
46126023,2055,23,7,9,7,8,0.04
46127023,1973,21,4,6,9,5,0.041
46128023,1909,22,8,8,6,9,0.042
46129023,1922,24,5,7,9,6,0.043
46130023,1899,22,7,9,7,10,0.044
46131023,1853,20,5,7,9,7,0.045
46132023,1831,22,7,8,6,8,0.046
46133023,1854,22,8,5,7,9,0.047
46134023,1964,27,8,5,7,8,0.048
46135023,2027,25,6,6,9,5,0.049
46136023,2061,23,5,6,5,6,0.05
46137023,2139,26,6,7,6,7,0.051
46138023,2143,24,4,4,3,4,0.052
46139023,2148,21,5,4,5,3,0.053
46140023,2219,24,6,5,5,3,0.054
46141023,2296,24,6,6,6,4,0.055
46142023,2320,25,4,4,3,6,0.056
46143023,2321,24,6,7,7,6,0.057
46144023,2188,18,5,3,5,3,0.058
46145023,2099,21,4,5,4,6,0.059
46146023,2062,21,5,4,6,7,0.06
46147023,1968,18,7,9,6,7,0.061
46148023,1912,22,6,8,7,7,0.062
46149023,1928,21,7,8,6,7,0.063
46150023,1916,24,6,8,7,8,0.064
46151023,1833,20,7,8,8,5,0.065
46152023,1825,23,7,6,8,6,0.066
46153023,1828,22,7,7,7,10,0.067
46154023,1964,26,6,5,5,6,0.068
46155023,2021,26,6,7,7,8,0.069
46156023,2044,24,4,3,5,4,0.07
46157023,2127,27,6,7,6,7,0.071
46158023,2151,24,5,4,3,6,0.072
46159023,2159,23,5,5,3,4,0.073
46160023,2197,24,5,6,6,3,0.074
46161023,2303,25,6,7,5,3,0.075
46162023,2327,25,6,4,3,7,0.076
46163023,2310,24,6,4,4,2,0.077
46164023,2174,18,4,3,7,6,0.078
46165023,2104,18,7,7,7,5,0.079
46166023,2068,22,6,6,6,5,0.08
46167023,1951,20,3,7,6,7,0.081
46168023,1929,21,6,7,6,8,0.082
46169023,1920,22,8,6,7,8,0.083
46170023,1892,21,6,9,6,7,0.084
46171023,1848,20,5,5,8,6,0.085
46172023,1820,20,6,7,8,6,0.086
46173023,1836,23,6,7,7,9,0.087
46174023,1972,28,5,6,7,6,0.088
46175023,2043,27,7,7,7,7,0.089
46176023,2064,24,6,6,5,3,0.09
46177023,2112,25,5,3,5,3,0.091
46178023,2144,24,4,4,2,7,0.092
46179023,2168,24,6,7,7,6,0.093
46180023,2196,24,5,5,3,3,0.094
46181023,2303,28,4,4,3,3,0.095
46182023,2331,24,6,5,5,3,0.096
46183023,2331,24,6,6,8,5,0.097
46184023,2183,18,4,5,5,4,0.098
46185023,2103,19,7,6,8,5,0.099
46186023,2062,22,4,6,6,8,0.1
46187023,1954,18,5,5,6,7,0.101
46188023,1922,22,6,7,8,5,0.102
46189023,1920,23,5,7,7,10,0.103
46190023,1900,21,7,9,6,7,0.104
46191023,1843,22,6,8,6,7,0.105
46192023,1843,23,5,7,10,7,0.106
46193023,1836,21,5,8,6,6,0.107
46194023,1949,27,8,8,6,7,0.108
46195023,2021,25,5,7,8,5,0.109
46196023,2055,25,6,7,7,7,0.11
46197023,2131,25,5,4,4,3,0.111
46198023,2143,22,4,3,5,4,0.112
46199023,2151,22,4,4,2,5,0.113
46200023,2226,25,3,7,7,5,0.114
46201023,2304,23,5,5,4,1,0.115
46202023,2329,24,6,6,6,6,0.116
46203023,2311,23,5,4,3,4,0.117
46204023,2176,20,6,7,6,6,0.118
46205023,2104,19,6,7,6,7,0.119
46206023,2074,23,7,7,7,7,0.12
46207023,1967,19,7,6,6,7,0.121
46208023,1927,20,7,8,6,8,0.122
46209023,1920,20,6,8,5,7,0.123
46210023,1920,23,8,7,11,11,0.124
46211023,1836,19,6,7,8,6,0.125
46212023,1827,21,6,8,7,8,0.126
46213023,1840,24,8,5,7,7,0.127
46214023,1944,25,7,8,7,7,0.128
46215023,2024,27,6,7,9,4,0.129
46216023,2064,26,5,6,7,6,0.13
46217023,2135,25,3,7,4,3,0.131
46218023,2144,23,6,4,3,7,0.132
46219023,2160,22,6,4,5,2,0.133
46220023,2208,23,6,4,6,7,0.134
46221023,2306,27,6,6,6,3,0.135
46222023,2330,25,5,4,4,3,0.136
46223023,2303,24,5,6,7,4,0.137
46224023,2179,20,6,6,4,4,0.138
46225023,2090,19,5,6,7,9,0.139
46226023,2071,22,5,5,5,6,0.14
46227023,1965,20,6,7,7,7,0.141
46228023,1920,20,7,8,4,5,0.142
46229023,1932,24,7,7,8,8,0.143
46230023,1905,21,8,6,7,11,0.144
46231023,1854,22,8,7,8,6,0.145
46232023,1835,22,7,9,5,7,0.146
46233023,1830,23,6,8,7,10,0.147
46234023,1951,27,5,6,9,4,0.148
46235023,2020,25,5,6,7,8,0.149
46236023,2050,25,6,8,4,3,0.15
46237023,2116,25,4,4,5,3,0.151
46238023,2155,25,6,6,7,7,0.152
46239023,2168,21,5,3,4,2,0.153
46240023,2208,23,6,6,5,3,0.154
46241023,2303,27,4,3,5,3,0.155
46242023,2312,24,5,4,3,6,0.156
46243023,2316,23,6,7,6,6,0.157
46244023,2191,20,5,5,3,4,0.158
46245023,2085,19,6,7,6,6,0.159
46246023,2061,22,6,6,7,7,0.16
46247023,1979,21,4,6,8,6,0.161
