timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
40620019,2423,31,9,8,8,8,0.15
40621019,2651,35,8,7,11,11,0.151
40622019,2767,32,5,7,9,7,0.152
40623019,2767,31,7,8,4,8,0.153
40624019,2413,15,6,6,8,5,0.154
40625019,2175,14,6,4,5,4,0.155
40626019,2096,18,5,4,6,7,0.156
40627019,1853,12,2,5,5,3,0.157
40628019,1751,15,6,6,7,5,0.158
40629019,1725,18,5,3,5,1,0.159
40630019,1675,18,5,4,3,6,0.16
40631019,1471,11,3,4,4,3,0.161
40632019,1390,14,3,3,7,6,0.162
40633019,1371,17,3,3,4,3,0.163
40634019,1689,28,5,5,3,8,0.164
40635019,1906,31,8,7,8,5,0.165
40636019,2003,28,7,6,5,7,0.166
40637019,2203,30,7,8,6,10,0.167
40638019,2287,28,7,7,9,7,0.168
40639019,2324,27,8,5,7,8,0.169
40640019,2404,29,7,9,8,7,0.17
40641019,2628,35,9,7,9,6,0.171
40642019,2742,33,7,9,6,10,0.172
40643019,2783,30,8,7,8,6,0.173
40644019,2426,14,6,8,6,7,0.174
40645019,2164,11,4,3,7,6,0.175
40646019,2078,18,6,7,7,4,0.176
40647019,1861,14,5,2,5,2,0.177
40648019,1759,14,4,3,4,4,0.178
40649019,1714,19,3,7,6,6,0.179
40650019,1652,15,4,4,2,4,0.18
40651019,1476,12,3,6,6,2,0.181
40652019,1391,15,5,4,3,5,0.182
40653019,1366,15,6,7,6,5,0.183
40654019,1704,29,6,7,5,3,0.184
40655019,1928,31,7,5,5,6,0.185
40656019,1991,28,6,7,8,4,0.186
40657019,2193,31,8,5,6,10,0.187
40658019,2265,29,7,9,7,9,0.188
40659019,2304,28,7,7,8,5,0.189
40660019,2412,31,7,6,9,8,0.19
40661019,2632,36,6,7,8,9,0.191
40662019,2752,34,7,6,8,8,0.192
40663019,2788,28,7,6,8,7,0.193
40664019,2433,15,6,7,7,8,0.194
40665019,2179,15,6,6,4,4,0.195
40666019,2073,15,4,5,2,8,0.196
40667019,1857,14,4,5,4,4,0.197
40668019,1760,16,4,6,5,3,0.198
40669019,1732,18,6,6,5,4,0.199
40670019,1640,18,4,4,1,4,0.2
40671019,1495,14,3,6,6,6,0.201
40672019,1392,11,3,5,3,5,0.202
40673019,1375,17,4,4,4,3,0.203
40674019,1697,29,7,8,6,7,0.204
40675019,1912,31,8,5,7,7,0.205
40676019,1996,28,4,6,8,4,0.206
40677019,2207,32,6,9,6,9,0.207
40678019,2275,29,7,7,9,7,0.208
40679019,2318,26,6,8,7,10,0.209
40680019,2399,28,7,9,8,7,0.21
40681019,2632,33,7,7,10,11,0.211
40682019,2740,31,8,6,9,7,0.212
40683019,2764,30,6,8,6,9,0.213
40684019,2415,17,4,4,6,7,0.214
40685019,2186,15,4,5,4,3,0.215
40686019,2096,17,5,4,6,8,0.216
40687019,1852,13,4,4,5,3,0.217
40688019,1756,15,6,7,7,5,0.218
40689019,1718,19,5,2,6,5,0.219
40690019,1648,16,4,4,3,4,0.22
40691019,1492,14,6,4,4,0,0.221
40692019,1372,11,3,6,7,6,0.222
40693019,1374,17,5,4,4,4,0.223
40694019,1714,31,7,6,8,6,0.224
40695019,1907,30,6,5,5,6,0.225
40696019,2015,28,6,5,6,9,0.226
40697019,2188,30,8,7,8,4,0.227
40698019,2264,28,6,9,6,10,0.228
40699019,2336,28,6,8,7,8,0.229
40700019,2397,29,7,7,10,7,0.23
40701019,2633,36,8,7,9,5,0.231
40702019,2764,34,7,9,6,10,0.232
40703019,2762,28,6,6,8,7,0.233
40704019,2416,14,6,4,3,8,0.234
40705019,2183,15,5,5,6,7,0.235
40706019,2073,17,5,7,7,7,0.236
40707019,1839,13,4,5,3,5,0.237
40708019,1740,15,6,6,7,5,0.238
40709019,1724,16,3,5,3,5,0.239
40710019,1668,17,3,5,4,3,0.24
40711019,1507,12,3,5,3,4,0.241
40712019,1388,12,4,2,6,5,0.242
40713019,1385,17,4,3,5,1,0.243
40714019,1711,29,7,7,7,7,0.244
40715019,1912,27,8,5,4,6,0.245
40716019,2011,28,6,8,4,7,0.246
40717019,2207,30,8,7,9,7,0.247
40718019,2286,29,7,9,6,10,0.248
40719019,2316,25,7,9,6,8,0.249
40720019,2422,31,9,6,8,7,0.25
40721019,2648,32,8,8,7,11,0.251
