timestamp_us,grip_voltage,relative_time_us
102138650,1282,103199
102139021,1315,103570
102139391,1369,103940
102139761,1433,104310
102140132,1506,104681
102140502,1595,105051
102140873,1694,105422
102141248,1795,105797
102141618,1903,106167
102141989,2015,106538
102142359,2126,106908
102142736,2237,107285
102143106,2343,107655
102143477,2444,108026
102143847,2537,108396
102144218,2621,108767
102144589,2694,109138
102144959,2756,109508
102145330,2802,109879
102145705,2832,110254
102146075,2848,110624
102146446,2850,110995
102146816,2839,111365
102147187,2805,111736
102147558,2763,112107
102147933,2701,112482
102148303,2632,112852
102148673,2549,113222
102149046,2456,113595
102149417,2360,113966
102149787,2253,114336
102150158,2142,114707
102150528,2033,115077
102150903,1919,115452
102151273,1812,115822
102151644,1706,116193
102152015,1612,116564
102152385,1523,116934
102152755,1443,117304
102153128,1378,117677
102153499,1322,118048
102153869,1284,118418
102154244,1265,118793
102154615,1254,119164
102154986,1260,119535
102155356,1287,119905
102155728,1328,120277
102156099,1383,120648
102156470,1443,121019
102156840,1517,121389
102157211,1605,121760
102157581,1704,122130
102157952,1805,122501
102158323,1914,122872
102158695,2025,123244
102159066,2138,123615
102159437,2248,123986
102159807,2354,124356
102160178,2454,124727
102160548,2546,125097
102160923,2629,125472
102161293,2699,125842
102161663,2761,126212
102162038,2808,126587
102162408,2837,126957
102162779,2852,127328
102163150,2851,127699
102163520,2835,128069
102163895,2803,128444
102164265,2759,128814
102164636,2701,129185
102165007,2626,129556
102165377,2542,129926
102165747,2449,130296
102166118,2346,130667
102166489,2237,131038
102166859,2130,131408
102167234,2021,131783
102167605,1907,132154
102167975,1797,132524
102168346,1697,132895
102168719,1597,133268
102169090,1513,133639
102169460,1436,134009
102169830,1371,134379
102170201,1321,134750
102170572,1284,135121
102170942,1263,135491
102171313,1255,135862
102171685,1262,136234
102172056,1288,136605
102172427,1328,136976
102172797,1381,137346
102173168,1447,137717
102173538,1524,138087
102173913,1615,138462
102174283,1708,138832
102174654,1816,139203
102175024,1926,139573
102175395,2042,139944
102175765,2152,140314
102176136,2262,140685
102176507,2368,141056
102176882,2463,141431
102177252,2555,141801
102177622,2636,142171
102177993,2704,142542
102178364,2765,142913
102178738,2809,143287
102179109,2838,143658
102179480,2852,144029
102179850,2852,144399
102180225,2834,144774
102180596,2798,145145
102180966,2752,145515
102181337,2692,145886
102181710,2616,146259
102182081,2533,146630
102182451,2439,147000
102182821,2339,147370
102183192,2232,147741
102183563,2122,148112
102183937,2009,148486
102184307,1900,148856
102184678,1789,149227
102185053,1690,149602
102185424,1590,149973
102185794,1503,150343
102186165,1428,150714
102186535,1363,151084
102186910,1314,151459
102187280,1278,151829
102187650,1255,152199
102188021,1253,152570
102188391,1263,152940
102188761,1289,153310
102189132,1331,153681
102189502,1387,154051
102189873,1455,154422
102190248,1534,154797
102190618,1624,155167
102190989,1723,155538
102191359,1828,155908
102191736,1941,156285
102192106,2050,156655
102192477,2162,157026
102192847,2272,157396
102193218,2374,157767
102193589,2471,158138
102193959,2564,158508
102194330,2646,158879
102194705,2715,159254
102195075,2771,159624
102195446,2820,159995
102195816,2847,160365
102196187,2857,160736
102196558,2851,161107
102196933,2833,161482
102197303,2796,161852
102197673,2749,162222
102198046,2684,162595
102198417,2611,162966
102198787,2527,163336
102199158,2429,163707
102199528,2331,164077
102199903,2220,164452
102200273,2112,164822
102200644,1997,165193
102201015,1887,165564
102201385,1783,165934
102201755,1677,166304
102202128,1583,166677
102202499,1497,167048
102202869,1422,167418
102203244,1360,167793
102203615,1311,168164
102203986,1278,168535
102204356,1259,168905
102204728,1254,169277
102205099,1267,169648
102205470,1292,170019
102205840,1336,170389
102206211,1391,170760
102206581,1460,171130
102206952,1542,171501
102207323,1633,171872
102207695,1731,172244
102208066,1837,172615
102208437,1948,172986
102208807,2058,173356
102209178,2167,173727
102209548,2280,174097
102209923,2384,174472
102210293,2482,174842
102210663,2576,175212
102211038,2653,175587
102211408,2721,175957
102211779,2778,176328
102212150,2816,176699
102212520,2839,177069
102212895,2855,177444
102213265,2847,177814
102213636,2827,178185
102214007,2791,178556
102214377,2742,178926
102214747,2679,179296
102215118,2601,179667
102215489,2520,180038
102215859,2426,180408
102216234,2322,180783
102216605,2208,181154
102216975,2100,181524
102217346,1987,181895
102217719,1875,182268
102218090,1768,182639
102218460,1667,183009
102218830,1573,183379
102219201,1489,183750
102219572,1416,184121
102219942,1355,184491
102220313,1308,184862
102220685,1274,185234
102221056,1258,185605
102221427,1258,185976
102221797,1268,186346
102222168,1298,186717
102222538,1343,187087
102222913,1397,187462
102223283,1469,187832
102223654,1552,188203
102224024,1641,188573
102224395,1743,188944
102224765,1849,189314
102225136,1957,189685
102225507,2068,190056
102225882,2180,190431
102226252,2287,190801
102226622,2391,191171
102226993,2487,191542
102227364,2579,191913
102227738,2657,192287
102228109,2722,192658
102228480,2778,193029
102228850,2821,193399
102229225,2844,193774
102229596,2850,194145
102229966,2848,194515
102230337,2824,194886
102230710,2787,195259
102231081,2735,195630
102231451,2670,196000
102231821,2595,196370
