timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
91103016,1925,14,2,3,4,2,0.146999
91104016,1895,14,2,2,1,0,0.147999
91105017,1894,16,1,0,0,0,0.149
91106017,1984,18,4,2,4,1,0.15
91107016,1997,19,6,6,7,5,0.150999
91108017,2048,22,6,7,8,4,0.152
91109016,2054,22,6,8,6,9,0.152999
91110017,2119,28,9,8,8,8,0.154
91111016,2128,24,9,8,8,9,0.154999
91112016,2137,24,9,10,13,12,0.155999
91113017,2155,25,9,10,11,14,0.157
91114016,2180,27,12,11,12,11,0.157999
91115016,2184,26,10,12,9,12,0.158999
91116016,2131,25,7,12,9,11,0.159999
91117017,2084,18,7,7,8,7,0.161
91118017,2028,19,5,3,7,8,0.162
91119016,2027,19,4,7,4,3,0.162999
91120017,1991,17,4,4,1,2,0.164
91121016,1980,16,3,5,1,3,0.164999
91122017,1961,17,4,3,3,3,0.166
91123016,1947,16,2,4,1,0,0.166999
91124016,1919,15,2,1,0,0,0.167999
91125017,1912,14,2,1,0,0,0.169
91126017,1954,18,5,2,4,0,0.17
91127016,2019,20,5,6,5,4,0.170999
91128017,2023,22,6,8,4,6,0.172
91129016,2075,21,6,7,10,8,0.172999
91130016,2116,24,9,8,7,11,0.173999
91131017,2127,24,10,11,11,10,0.175
91132016,2143,26,9,9,7,12,0.175999
91133016,2148,25,8,9,10,11,0.176999
91134017,2181,26,10,13,11,12,0.178
91135017,2183,27,10,12,11,12,0.179
91136016,2118,23,8,8,9,8,0.179999
91137016,2079,20,5,6,9,8,0.180999
91138017,2057,20,6,7,7,8,0.182
91139017,2015,19,6,5,3,5,0.183
91140016,1977,14,3,3,6,2,0.183999
91141017,1996,17,3,4,2,1,0.185
91142016,1968,16,2,2,4,0,0.185999
91143017,1948,15,3,2,2,1,0.187
91144016,1932,14,1,0,0,0,0.187999
91145016,1893,14,1,1,0,0,0.188999
91146017,1952,17,3,4,3,3,0.19
91147017,1999,20,5,5,5,3,0.191
91148016,2054,22,8,5,6,7,0.191999
91149017,2082,23,7,8,7,7,0.193
91150016,2106,25,8,7,13,8,0.193999
91151016,2131,26,9,8,8,9,0.194999
91152017,2147,25,7,11,11,12,0.196
