Time_s,ADC6,CH0
100.449,1225,
100.45,1223,
100.451,1212,
100.452,1201,
100.453,1196,
100.454,1191,
100.455,1193,
100.456,1200,
100.457,1208,
100.458,1216,
100.459,1219,
100.46,1230,
100.461,1232,
100.462,1236,
100.463,1247,
100.464,1247,
100.465,1248,
100.466,1254,
100.467,1247,
100.468,1240,
100.469,1232,
100.47,1216,
100.471,1208,
100.472,1199,
100.473,1195,
100.474,1198,
100.475,1200,
100.476,1200,
100.477,1211,
100.478,1215,
100.479,1228,
100.48,1232,
100.481,1231,
100.482,1236,
100.483,1238,
100.484,1240,
100.485,1240,
100.486,1240,
100.487,1244,
100.488,1240,
100.489,1227,
100.49,1222,
100.491,1207,
100.492,1203,
100.493,1192,
100.494,1196,
100.495,1191,
100.496,1195,
100.497,1204,
100.498,1209,
100.499,1217,
100.5,1231,
100.501,1231,
100.502,1244,
100.503,1240,
100.504,1248,
100.505,1246,
100.506,1241,
100.507,1244,
100.508,1236,
100.509,1224,
100.51,1216,
100.511,1207,
100.512,1200,
100.513,1192,
100.514,1191,
100.515,1200,
100.516,1208,
100.517,1214,
100.518,1226,
100.519,1226,
100.52,1233,
100.521,1240,
100.522,1239,
100.523,1242,
100.524,1246,
100.525,1240,
100.526,1239,
100.527,1231,
100.528,1224,
100.529,1219,
100.53,1209,
100.531,1203,
100.532,1196,
100.533,1192,
100.534,1198,
100.535,1199,
100.536,1203,
100.537,1214,
100.538,1219,
100.539,1224,
100.54,1233,
100.541,1239,
100.542,1244,
100.543,1246,
100.544,1246,
100.545,1240,
100.546,1240,
100.547,1239,
100.548,1231,
100.549,1220,
100.55,1214,
100.551,1200,
100.552,1193,
100.553,1191,
100.554,1186,
100.555,1188,
100.556,1191,
100.557,1200,
100.558,1207,
100.559,1216,
100.56,1216,
100.561,1223,
100.562,1224,
100.563,1227,
100.564,1238,
100.565,1240,
100.566,1240,
100.567,1235,
100.568,1234,
100.569,1227,
100.57,1216,
100.571,1212,
100.572,1200,
100.573,1194,
100.574,1196,
100.575,1194,
100.576,1200,
100.577,1207,
100.578,1211,
100.579,1216,
100.58,1219,
100.581,1224,
100.582,1231,
100.583,1231,
100.584,1236,
100.585,1234,
100.586,1232,
100.587,1231,
100.588,1231,
100.589,1218,
100.59,1214,
100.591,1203,
100.592,1197,
100.593,1196,
100.594,1191,
100.595,1191,
100.596,1196,
100.597,1204,
100.598,1212,
100.599,1219,
100.6,1224,
100.601,1234,
100.602,1232,
100.603,1237,
100.604,1240,
100.605,1236,
100.606,1240,
100.607,1233,
100.608,1226,
100.609,1224,
100.61,1216,
100.611,1207,
100.612,1199,
100.613,1199,
100.614,1190,
100.615,1198,
100.616,1199,
100.617,1211,
100.618,1220,
100.619,1231,
100.62,1235,
100.621,1241,
100.622,1240,
100.623,1243,
100.624,1244,
100.625,1248,
100.626,1247,
100.627,1247,
100.628,1240,
100.629,1231,
100.63,1228,
100.631,1211,
100.632,1204,
100.633,1199,
100.634,1198,
100.635,1193,
100.636,1206,
100.637,1212,
100.638,1215,
100.639,1224,
100.64,1225,
100.641,1236,
100.642,1244,
100.643,1240,
100.644,1246,
100.645,1241,
100.646,1239,
100.647,1240,
100.648,1234,
100.649,1223,
100.65,1216,
100.651,1210,
100.652,1208,
100.653,1199,
100.654,1200,
100.655,1200,
100.656,1208,
100.657,1214,
100.658,1219,
100.659,1223,
100.66,1223,
100.661,1228,
100.662,1231,
100.663,1236,
100.664,1243,
100.665,1233,
100.666,1236,
100.667,1232,
100.668,1220,
100.669,1207,
100.67,1199,
100.671,1187,
100.672,1183,
100.673,1177,
100.674,1183,
100.675,1183,
100.676,1188,
100.677,1199,
100.678,1203,
100.679,1215,
100.68,1220,
100.681,1224,
100.682,1228,
100.683,1236,
100.684,1233,
100.685,1232,
100.686,1228,
100.687,1224,
100.688,1216,
100.689,1214,
100.69,1207,
100.691,1199,
100.692,1192,
100.693,1190,
100.694,1196,
100.695,1200,
100.696,1202,
100.697,1208,
100.698,1215,
100.699,1223,
100.7,1224,
100.701,1225,
100.702,1232,
100.703,1231,
100.704,1231,
100.705,1236,
100.706,1231,
100.707,1231,
100.708,1231,
100.709,1223,
100.71,1212,
100.711,1207,
100.712,1199,
100.713,1191,
100.714,1196,
100.715,1195,
100.716,1199,
100.717,1208,
100.718,1216,
100.719,1228,
100.72,1231,
100.721,1240,
100.722,1240,
100.723,1244,
100.724,1246,
100.725,1246,
100.726,1242,
100.727,1236,
100.728,1224,
100.729,1212,
100.73,1208,
100.731,1192,
100.732,1190,
100.733,1178,
100.734,1183,
100.735,1183,
100.736,1187,
100.737,1192,
100.738,1206,
100.739,1214,
100.74,1215,
100.741,1223,
100.742,1219,
100.743,1219,
100.744,1227,
100.745,1224,
100.746,1229,
100.747,1223,
100.748,1224,
100.749,1216,
100.75,1211,
100.751,1211,
100.752,1199,
100.753,1194,
100.754,1198,
100.755,1193,
100.756,1203,
100.757,1208,
100.758,1216,
100.759,1228,
100.76,1228,
100.761,1232,
100.762,1233,
100.763,1234,
100.764,1239,
100.765,1236,
100.766,1235,
100.767,1231,
100.768,1227,
100.769,1222,
100.77,1215,
100.771,1208,
100.772,1206,
100.773,1193,
100.774,1198,
100.775,1196,
100.776,1197,
100.777,1204,
100.778,1211,
100.779,1219,
100.78,1224,
100.781,1233,
100.782,1241,
100.783,1244,
100.784,1244,
100.785,1239,
100.786,1244,
100.787,1239,
100.788,1234,
100.789,1218,
100.79,1214,
100.791,1204,
100.792,1192,
100.793,1188,
100.794,1188,
100.795,1192,
100.796,1207,
100.797,1215,
100.798,1218,
100.799,1232,
100.8,1231,
100.801,1236,
100.802,1235,
100.803,1239,
100.804,1240,
100.805,1238,
100.806,1235,
100.807,1231,
100.808,1224,
100.809,1215,
100.81,1203,
100.811,1199,
100.812,1195,
100.813,1191,
100.814,1192,
100.815,1199,
100.816,1208,
100.817,1216,
100.818,1224,
100.819,1231,
100.82,1238,
100.821,1239,
100.822,1243,
100.823,1248,
100.824,1252,
100.825,1249,
100.826,1248,
100.827,1247,
100.828,1235,
100.829,1231,
100.83,1223,
100.831,1208,
100.832,1203,
100.833,1196,
100.834,1193,
100.835,1195,
100.836,1204,
100.837,1215,
100.838,1223,
100.839,1225,
100.84,1232,
100.841,1232,
100.842,1233,
100.843,1236,
100.844,1240,
100.845,1235,
100.846,1235,
100.847,1239,
100.848,1231,
100.849,1224,
100.85,1211,
100.851,1203,
100.852,1191,
100.853,1188,
100.854,1187,
100.855,1188,
100.856,1192,
100.857,1207,
100.858,1213,
100.859,1220,
100.86,1223,
100.861,1230,
100.862,1224,
100.863,1228,
100.864,1231,
100.865,1231,
