Time (s),Voltage (V)
2.163894844055176,-3.0
2.1639348440551758,-5.0
2.1639748440551756,-6.0
2.164014844055176,-6.0
2.1640548440551757,-6.0
2.164094844055176,-7.0
2.1641348440551758,-7.0
2.1641748440551756,-9.0
2.164214844055176,-10.0
2.1642548440551757,-10.0
2.164294844055176,-10.0
2.1643348440551757,-9.0
2.164374844055176,-10.0
2.164414844055176,-10.0
2.1644548440551756,-11.0
2.164494844055176,-11.0
2.1645348440551757,-11.0
2.164574844055176,-10.0
2.164614844055176,-8.0
2.1646548440551756,-9.0
2.164694844055176,-9.0
2.1647348440551757,-11.0
2.164774844055176,-11.0
2.1648148440551758,-10.0
2.1648548440551756,-11.0
2.164894844055176,-10.0
2.1649348440551757,-10.0
2.164974844055176,-11.0
2.1650148440551757,-11.0
2.1650548440551756,-13.0
2.165094844055176,-12.0
2.1651348440551756,-13.0
2.165174844055176,-12.0
2.1652148440551757,-11.0
2.165254844055176,-13.0
2.165294844055176,-14.0
2.1653348440551756,-13.0
2.165374844055176,-14.0
2.1654148440551757,-14.0
2.165454844055176,-14.0
2.165494844055176,-13.0
2.1655348440551756,-14.0
2.165574844055176,-14.0
2.1656148440551757,-14.0
2.165654844055176,-14.0
2.1656948440551758,-14.0
2.1657348440551756,-13.0
2.165774844055176,-11.0
2.1658148440551757,-11.0
2.165854844055176,-10.0
2.1658948440551757,-12.0
2.165934844055176,-11.0
2.165974844055176,-12.0
2.1660148440551756,-10.0
2.166054844055176,-11.0
2.1660948440551757,-13.0
2.166134844055176,-13.0
2.166174844055176,-13.0
2.1662148440551756,-15.0
2.166254844055176,-14.0
2.1662948440551757,-14.0
2.166334844055176,-15.0
2.1663748440551758,-14.0
2.1664148440551756,-14.0
2.166454844055176,-15.0
2.1664948440551757,-16.0
2.166534844055176,-16.0
2.1665748440551758,-16.0
2.1666148440551756,-15.0
2.166654844055176,-15.0
2.1666948440551757,-15.0
2.166734844055176,-16.0
2.1667748440551757,-16.0
2.166814844055176,-17.0
2.166854844055176,-16.0
2.1668948440551756,-15.0
2.166934844055176,-15.0
2.1669748440551757,-15.0
