timestamp,osc_ch1,osc_ch2,esp_timestamp,esp_value
1.2956482,,,0.048887,25
1.2960391,,,0.049883,0
1.296391,,,0.050883,0
1.2967404,,,0.051883,0
1.2970237,,,0.052883,16
1.2973643,,,0.053884,45
1.2976335,,,0.054883,53
1.2988114,,,0.055883,66
1.2997029,,,0.056883,53
1.3007186,,,0.057883,33
1.3017317,,,0.058883,34
1.3027711,,,0.059883,28
1.303995,,,0.060883,16
1.3047436,,,0.061883,12
1.3062451,,,0.062883,5
1.306746,,,0.063883,0
1.3076603,,,0.064883,0
1.3087798,,,0.065883,0
1.309636,,,0.066883,0
1.3108274,,,0.067883,0
1.3119987,,,0.068883,0
1.31275,,,0.069883,0
1.3137191,,,0.070883,0
1.314693,,,0.071883,0
1.3157308,,,0.072883,18
1.3166514,,,0.073883,45
1.3176772,,,0.074883,51
1.3186845,,,0.075884,70
1.3198302,,,0.076883,51
1.3206352,,,0.077883,36
1.321671,,,0.078884,29
1.3228655,,,0.079883,27
1.323661,,,0.080883,23
1.3246577,,,0.081884,17
1.3258391,,,0.082883,4
1.3268153,,,0.083883,0
1.3282332,,,0.084883,0
1.3287839,,,0.085883,0
1.3299743,,,0.086883,0
1.3307996,,,0.087883,0
1.3327154,,,0.088883,0
1.3330292,,,0.089883,0
1.3335712,,,0.090883,0
1.3346279,,,0.091883,0
1.33569,,,0.092883,16
1.3368142,,,0.093883,45
1.3378259,,,0.094883,54
1.3387361,,,0.095883,69
1.3396783,,,0.096883,48
1.3406445,,,0.097883,35
1.3419973,,,0.098883,33
1.3427701,,,0.099884,23
1.3437371,,,0.100883,23
1.3452348,,,0.101883,16
1.3457038,,,0.102883,5
1.3468767,,,0.103883,0
1.3476982,,,0.104884,0
1.3487725,,,0.105883,0
1.3496528,,,0.106883,0
1.350641,,,0.107884,0
1.351625,,,0.108883,0
1.3527336,,,0.109883,0
1.3536802,,,0.110884,0
1.3546649,,,0.111883,0
1.3557442,,,0.112883,17
1.3567152,,,0.113883,42
1.357758,,,0.114883,59
1.3586968,,,0.115883,70
1.3597836,,,0.116883,51
1.3607119,,,0.117883,36
1.3618639,,,0.118883,28
1.3628535,,,0.119883,25
1.3637472,,,0.120883,18
1.3647188,,,0.121883,15
1.3656754,,,0.122883,9
1.3666965,,,0.123883,0
1.3676295,,,0.124883,0
1.3686553,,,0.125884,0
1.3696179,,,0.126883,0
1.3706659,,,0.127883,0
1.3717083,,,0.128884,0
1.3725934,,,0.129883,0
1.3736861,,,0.130883,0
1.3746371,,,0.131884,0
1.3756016,,,0.132883,17
1.3766245,,,0.133883,43
1.3776414,,,0.134883,56
1.3789671,,,0.135883,65
1.3799326,,,0.136883,49
1.380678,,,0.137883,37
1.3816592,,,0.138883,33
1.3826166,,,0.139883,25
1.3837828,,,0.140883,18
1.3848088,,,0.141883,15
1.3855634,,,0.142883,6
1.3865914,,,0.143883,1
1.387709,,,0.144884,0
1.3886503,,,0.145883,0
1.3896087,,,0.146883,0
1.3907959,,,0.147884,0
1.3917091,,,0.148883,0
1.392593,,,0.149883,0
1.3935803,,,0.150884,0
1.3948634,,,0.151883,0
1.3957675,,,0.152883,17
1.3967756,,,0.153883,42
1.3976405,,,0.154883,56
1.3986411,,,0.155883,65
1.399603,,,0.156883,52
1.4005832,,,0.157883,35
1.4016059,,,0.158883,37
1.4026066,,,0.159883,24
1.4035872,,,0.160883,17
1.4046275,,,0.161883,12
1.4055565,,,0.162883,9
1.4067738,,,0.163883,0
1.4077079,,,0.164883,0
1.4086935,,,0.165884,0
1.4096357,,,0.166883,0
1.4107141,,,0.167883,0
1.411745,,,0.168884,0
1.4127641,,,0.169883,0
1.4136415,,,0.170883,0
1.4148089,,,0.171884,0
1.4156288,,,0.172883,18
1.4167899,,,0.173883,45
1.4175846,,,0.174883,52
1.4186045,,,0.175883,65
1.4196379,,,0.176883,50
1.4205912,,,0.177883,38
1.4216018,,,0.178883,32
1.4226314,,,0.179883,22
1.4235984,,,0.180883,21
1.4246543,,,0.181883,13
1.4255917,,,0.182883,8
1.4265799,,,0.183883,1
1.4275703,,,0.184884,0
1.4288629,,,0.185883,0
1.4301348,,,0.186883,0
1.4306661,,,0.187884,0
1.4316974,,,0.188883,0
1.4326822,,,0.189883,0
1.4336011,,,0.190884,0
1.4345857,,,0.191883,0
1.4356124,,,0.192883,19
1.4371547,,,0.193883,47
1.4378633,,,0.194883,54
1.4387442,,,0.195883,66
1.4397125,,,0.196883,50
1.4407058,,,0.197883,35
1.4416729,,,0.198883,34
1.442853,,,0.199883,25
1.4436655,,,0.200883,14
1.4452346,,,0.201883,15
1.4456921,,,0.202883,10
1.446936,,,0.203883,0
1.4476229,,,0.204883,0
1.4486953,,,0.205883,0
1.4496175,,,0.206883,0
1.4506888,,,0.207883,0
1.4515813,,,0.208883,0
1.4525816,,,0.209884,0
1.4537431,,,0.210883,0
1.4547332,,,0.211883,0
1.4556317,,,0.212884,18
1.456628,,,0.213883,47
1.4576461,,,0.214883,57
1.4586423,,,0.215883,66
1.4597359,,,0.216883,52
