timestamp_us,grip_voltage,relative_time_us
126418330,2001,103195
126418705,1995,103570
126419076,1990,103941
126419446,1986,104311
126419816,1984,104681
126420187,1981,105052
126420558,1982,105423
126420933,1981,105798
126421303,1983,106168
126421674,1985,106539
126422049,1987,106914
126422419,1993,107284
126422790,1996,107655
126423161,2002,108026
126423531,2009,108396
126423906,2015,108771
126424276,2022,109141
126424647,2031,109512
126425017,2038,109882
126425388,2047,110253
126425758,2055,110623
126426129,2063,110994
126426500,2071,111365
126426870,2079,111735
126427245,2088,112110
126427616,2095,112481
126427987,2100,112852
126428357,2107,113222
126428732,2112,113597
126429103,2116,113968
126429473,2119,114338
126429843,2122,114708
126430214,2123,115079
126430585,2125,115450
126430955,2124,115820
126431326,2123,116191
126431699,2120,116564
126432070,2118,116935
126432440,2113,117305
126432810,2108,117675
126433181,2103,118046
126433552,2097,118417
126433926,2090,118791
126434297,2083,119162
126434667,2075,119532
126435043,2066,119908
126435414,2060,120279
126435784,2049,120649
126436155,2042,121020
126436525,2033,121390
126436900,2026,121765
126437270,2017,122135
126437640,2011,122505
126438011,2005,122876
126438381,1999,123246
126438752,1995,123617
126439123,1990,123988
126439493,1986,124358
126439863,1983,124728
126440238,1981,125103
126440608,1981,125473
126440979,1982,125844
126441349,1983,126214
126441724,1986,126589
126442095,1987,126960
126442465,1992,127330
126442836,1997,127701
126443207,2003,128072
126443577,2008,128442
126443948,2016,128813
126444318,2023,129183
126444690,2030,129555
126445061,2039,129926
126445432,2048,130297
126445802,2056,130667
126446173,2065,131038
126446543,2072,131408
126446918,2081,131783
126447288,2088,132153
126447658,2095,132523
126448030,2101,132895
126448400,2107,133265
126448771,2112,133636
126449141,2116,134006
126449512,2120,134377
126449886,2122,134751
126450256,2123,135121
126450627,2124,135492
126450997,2124,135862
126451368,2123,136233
126451742,2120,136607
126452112,2117,136977
126452483,2113,137348
126452853,2108,137718
126453224,2102,138089
126453594,2097,138459
126453965,2089,138830
126454336,2081,139201
126454709,2074,139574
126455079,2065,139944
126455450,2057,140315
126455820,2050,140685
126456191,2041,141056
126456561,2033,141426
126456936,2025,141801
126457307,2018,142172
126457677,2010,142542
126458050,2005,142915
126458421,1999,143286
126458791,1993,143656
126459162,1990,144027
126459533,1986,144398
126459908,1984,144773
126460278,1981,145143
126460649,1981,145514
126461020,1981,145885
126461390,1983,146255
126461761,1985,146626
126462135,1988,147000
126462505,1992,147370
126462876,1998,147741
126463251,2003,148116
126463622,2010,148487
126463992,2017,148857
126464363,2024,149228
126464736,2032,149601
126465107,2040,149972
126465477,2049,150342
126465848,2058,150713
126466219,2065,151084
126466589,2073,151454
126466960,2082,151825
126467330,2089,152195
126467705,2096,152570
126468076,2102,152941
126468446,2108,153311
126468816,2112,153681
126469187,2116,154052
126469558,2120,154423
126469933,2122,154798
126470303,2124,155168
126470674,2124,155539
126471049,2124,155914
126471419,2121,156284
126471790,2120,156655
126472161,2116,157026
126472531,2113,157396
126472906,2107,157771
126473276,2101,158141
126473647,2095,158512
126474017,2088,158882
126474388,2080,159253
126474758,2073,159623
126475129,2065,159994
126475500,2055,160365
126475870,2048,160735
126476245,2040,161110
126476616,2032,161481
126476987,2024,161852
126477357,2017,162222
126477732,2010,162597
126478103,2004,162968
126478473,1997,163338
126478843,1992,163708
126479214,1988,164079
126479585,1985,164450
126479955,1983,164820
126480326,1981,165191
126480699,1982,165564
126481070,1982,165935
126481440,1983,166305
126481810,1986,166675
126482181,1989,167046
126482552,1993,167417
126482926,1998,167791
126483297,2005,168162
126483667,2011,168532
126484043,2018,168908
126484414,2025,169279
126484784,2032,169649
126485155,2041,170020
126485525,2049,170390
126485900,2058,170765
126486270,2067,171135
126486640,2075,171505
126487011,2082,171876
126487381,2089,172246
126487752,2097,172617
126488123,2104,172988
126488493,2108,173358
126488863,2114,173728
126489238,2117,174103
126489608,2121,174473
126489979,2123,174844
126490349,2124,175214
126490724,2127,175589
126491095,2123,175960
126491465,2122,176330
126491836,2119,176701
126492207,2116,177072
126492577,2111,177442
126492948,2106,177813
126493318,2101,178183
126493690,2094,178555
126494061,2087,178926
126494432,2080,179297
126494802,2072,179667
126495173,2064,180038
126495543,2055,180408
126495918,2048,180783
126496288,2039,181153
126496658,2031,181523
126497030,2023,181895
126497400,2015,182265
126497771,2009,182636
126498141,2002,183006
126498512,1997,183377
126498886,1992,183751
126499256,1988,184121
126499627,1985,184492
126499997,1984,184862
126500368,1982,185233
126500742,1981,185607
126501112,1982,185977
126501483,1984,186348
126501853,1986,186718
