timestamp_us,grip_voltage,relative_time_us,relative_time_seconds
254861360,2.905128205128205,0,0.0
254861731,2.929304029304029,371,0.00037099999999999996
254862101,2.884175824175824,741,0.000741
254862470,2.7737728937728936,1110,0.0011099999999999999
254862839,2.6037362637362635,1479,0.0014789999999999998
254863208,2.3813186813186813,1848,0.0018479999999999998
254863578,2.1226373626373625,2218,0.002218
254863951,1.834139194139194,2591,0.002591
254864320,1.5399999999999998,2960,0.00296
254864689,1.2506959706959706,3329,0.003329
254865062,0.9839560439560439,3702,0.003702
254865432,0.7534798534798535,4072,0.004072
254865801,0.5729670329670329,4441,0.004441
254866170,0.4504761904761904,4810,0.00481
254866539,0.39084249084249084,5179,0.005179
254866912,0.40131868131868126,5552,0.005552
254867281,0.47868131868131863,5921,0.005921
254867650,0.6189010989010988,6290,0.00629
254868019,0.8147252747252747,6659,0.006659
254868388,1.0564835164835165,7028,0.0070279999999999995
254868762,1.3328937728937729,7402,0.007402
254869131,1.6246153846153844,7771,0.007770999999999999
254869500,1.917142857142857,8140,0.00814
254869869,2.1967765567765567,8509,0.008509
254870239,2.4473992673992675,8879,0.008879
254870608,2.6545054945054942,9248,0.009248
254870977,2.8100366300366297,9617,0.009616999999999999
254871346,2.9027106227106225,9986,0.009986
254871718,2.929304029304029,10358,0.010358
254872087,2.886593406593406,10727,0.010726999999999999
254872456,2.7778021978021976,11096,0.011096
254872825,2.610989010989011,11465,0.011465
254873195,2.3909890109890113,11835,0.011835
254873564,2.133113553113553,12204,0.012204
254873937,1.8446153846153845,12577,0.012577
254874307,1.5512820512820513,12947,0.012947
254874676,1.2627838827838826,13316,0.013316
254875045,0.9944322344322344,13685,0.013685
254875415,0.7647619047619048,14055,0.014055
254875784,0.5786080586080586,14424,0.014424
254876156,0.45289377289377286,14796,0.014796
254876525,0.3924542124542124,15165,0.015165
254876894,0.3997069597069597,15534,0.015534
254877267,0.4738461538461538,15907,0.015907
254877636,0.6124542124542125,16276,0.016276
254878005,0.8066666666666666,16645,0.016645
254878374,1.046007326007326,17014,0.017013999999999998
254878749,1.323223443223443,17389,0.017388999999999998
254879118,1.6133333333333333,17758,0.017758
254879487,1.9074725274725273,18127,0.018127
254879856,2.1871062271062267,18496,0.018496
254880226,2.4393406593406595,18866,0.018866
254880595,2.6488644688644687,19235,0.019235
254880964,2.8068131868131867,19604,0.019604
254881334,2.901098901098901,19974,0.019974
254881703,2.929304029304029,20343,0.020343
254882075,2.8898168498168495,20715,0.020715
254882444,2.7810256410256406,21084,0.021084
254882813,2.6174358974358976,21453,0.021453
254883183,2.3990476190476193,21823,0.021823
254883552,2.1427838827838825,22192,0.022192
254883925,1.8558974358974358,22565,0.022564999999999998
254884294,1.5617582417582416,22934,0.022934
254884663,1.2724542124542124,23303,0.023302999999999997
254885032,1.004102564102564,23672,0.023672
254885402,0.7712087912087912,24042,0.024041999999999997
254885771,0.5858608058608058,24411,0.024411
254886140,0.4577289377289377,24780,0.02478
254886509,0.39326007326007323,25149,0.025148999999999998
254886878,0.39728937728937724,25518,0.025518
254887247,0.4682051282051282,25887,0.025887
254887616,0.6035897435897436,26256,0.026255999999999998
254887985,0.7945787545787545,26625,0.026625
254888354,1.0323076923076924,26994,0.026993999999999997
254888726,1.3054945054945055,27366,0.027365999999999998
254889095,1.5964102564102562,27735,0.027735
254889464,1.888937728937729,28104,0.028103999999999997
254889833,2.17018315018315,28473,0.028473
254890203,2.4232234432234434,28843,0.028842999999999997
254890572,2.636776556776556,29212,0.029212
254890945,2.7987545787545787,29585,0.029585
254891315,2.897069597069597,29955,0.029955
254891684,2.93010989010989,30324,0.030324
254892060,2.892234432234432,30700,0.030699999999999998
254892429,2.788278388278388,31069,0.031069
254892798,2.6254945054945056,31438,0.031438
254893168,2.4087179487179484,31808,0.031807999999999996
254893537,2.152454212454212,32177,0.032177
254893910,1.8671794871794871,32550,0.032549999999999996
254894280,1.573040293040293,32920,0.03292
254894649,1.2837362637362637,33289,0.033289
254895018,1.0145787545787546,33658,0.033658
254895387,0.7800732600732599,34027,0.034027
254895759,0.5906959706959707,34399,0.034399
254896128,0.46095238095238095,34768,0.034768
254896497,0.39487179487179486,35137,0.035137
254896866,0.3964835164835165,35506,0.035505999999999996
254897235,0.46498168498168496,35875,0.035875
254897604,0.597948717948718,36244,0.036244
254897973,0.7873260073260073,36613,0.036613
254898342,1.0242490842490843,36982,0.036982
254898715,1.2966300366300365,37355,0.037355
254899084,1.585934065934066,37724,0.037724
254899453,1.88007326007326,38093,0.038092999999999995
254899822,2.1629304029304026,38462,0.038461999999999996
254900192,2.4175824175824174,38832,0.038832
254900561,2.63032967032967,39201,0.039201
254900934,2.7947252747252747,39574,0.039574
254901303,2.8954578754578755,39943,0.039943
254901672,2.929304029304029,40312,0.040312
254902042,2.8954578754578755,40682,0.040681999999999996
254902411,2.795531135531135,41051,0.041051
254902780,2.635164835164835,41420,0.04142
254903149,2.4208058608058605,41789,0.041789
254903518,2.1669597069597066,42158,0.042158
254903888,1.8824908424908424,42528,0.042527999999999996
254904260,1.5883516483516482,42900,0.0429
254904630,1.299047619047619,43270,0.043269999999999996
254904999,1.0282783882783884,43639,0.043639
254905368,0.7913553113553113,44008,0.044008
254905741,0.597948717948718,44381,0.044381
254906111,0.46498168498168496,44751,0.044751
254906480,0.3964835164835165,45120,0.04512
254906849,0.39487179487179486,45489,0.045488999999999995
254907218,0.46095238095238095,45858,0.045857999999999996
254907587,0.5898901098901098,46227,0.046227
254907960,0.7800732600732599,46600,0.046599999999999996
