timestamp_us,grip_voltage,relative_time_us,relative_time_seconds
24635927,1.0153846153846153,0,0.0
24636296,1.0572893772893772,369,0.00369
24636665,1.1072527472527471,738,0.00738
24637035,1.1693040293040293,1108,0.011080000000000001
24637404,1.236996336996337,1477,0.014770000000000002
24637773,1.306300366300366,1846,0.01846
24638142,1.3812454212454213,2215,0.022150000000000003
24638511,1.4586080586080585,2584,0.025840000000000002
24638880,1.5456410256410256,2953,0.02953
24639253,1.626227106227106,3326,0.033260000000000005
24639622,1.7076190476190476,3695,0.036950000000000004
24639991,1.7898168498168496,4064,0.04064
24640360,1.8712087912087911,4433,0.04433
24640732,1.9517948717948717,4805,0.04805
24641101,2.025128205128205,5174,0.05174
24641470,2.0912087912087913,5543,0.05543000000000001
24641839,2.156483516483516,5912,0.059120000000000006
24642208,2.2161172161172162,6281,0.06281
24642577,2.2644688644688644,6650,0.0665
24642948,2.3023443223443225,7021,0.07021000000000001
24643317,2.3321611721611717,7390,0.07390000000000001
24643686,2.3579487179487177,7759,0.07759
24644058,2.3708424908424908,8131,0.08131000000000001
24644427,2.3724542124542123,8500,0.085
24644796,2.3652014652014652,8869,0.08869
24645165,2.3498901098901097,9238,0.09238
24645534,2.328937728937729,9607,0.09607
24645907,2.2886446886446885,9980,0.09980000000000001
24646276,2.246739926739927,10349,0.10349000000000001
24646645,2.198388278388278,10718,0.10718000000000001
24647014,2.1403663003663,11087,0.11087000000000001
24647383,2.0734798534798533,11456,0.11456000000000001
24647752,2.003369963369963,11825,0.11825000000000001
24648121,1.9276190476190476,12194,0.12194
24648490,1.8470329670329668,12563,0.12563000000000002
24648859,1.767252747252747,12932,0.12932000000000002
24649228,1.6858608058608058,13301,0.13301000000000002
24649597,1.6028571428571428,13670,0.13670000000000002
24649966,1.5182417582417582,14039,0.14039000000000001
24650335,1.436043956043956,14408,0.14408
24650709,1.3594871794871795,14782,0.14782
24651078,1.2829304029304027,15151,0.15151
24651447,1.2136263736263737,15520,0.1552
24651815,1.1475457875457875,15888,0.15888000000000002
24652185,1.091135531135531,16258,0.16258
24652553,1.0452014652014652,16626,0.16626000000000002
24652927,1.0016849816849815,17000,0.17
24653296,0.9686446886446887,17369,0.17369
24653665,0.9501098901098901,17738,0.17738
24654035,0.9356043956043956,18108,0.18108000000000002
24654404,0.9307692307692308,18477,0.18477000000000002
24654773,0.9347985347985348,18846,0.18846000000000002
24655142,0.9501098901098901,19215,0.19215000000000002
24655511,0.9750915750915751,19584,0.19584000000000001
24655880,1.0113553113553113,19953,0.19953
24656253,1.0508424908424907,20326,0.20326000000000002
24656622,1.1016117216117214,20695,0.20695000000000002
24656991,1.1620512820512818,21064,0.21064000000000002
24657360,1.228131868131868,21433,0.21433000000000002
24657732,1.295018315018315,21805,0.21805000000000002
24658101,1.36996336996337,22174,0.22174000000000002
24658470,1.4529670329670328,22543,0.22543000000000002
24658839,1.5343589743589743,22912,0.22912000000000002
24659208,1.6157509157509158,23281,0.23281000000000002
24659577,1.6987545787545786,23650,0.23650000000000002
24659948,1.78014652014652,24021,0.24021
24660317,1.8639560439560439,24390,0.24390000000000003
24660686,1.9413186813186813,24759,0.24759000000000003
24661058,2.0146520146520146,25131,0.25131000000000003
24661427,2.083956043956044,25500,0.255
24661796,2.1516483516483516,25869,0.25869000000000003
24662165,2.2104761904761903,26238,0.26238
24662534,2.258021978021978,26607,0.26607000000000003
24662907,2.2999267399267396,26980,0.26980000000000004
24663276,2.3345787545787546,27349,0.27349
24663645,2.3563369963369962,27718,0.27718000000000004
24664014,2.3692307692307693,28087,0.28087
24664383,2.3724542124542123,28456,0.28456000000000004
24664752,2.3660073260073258,28825,0.28825
24665121,2.3515018315018312,29194,0.29194000000000003
24665490,2.3305494505494506,29563,0.29563
24665859,2.299120879120879,29932,0.29932000000000003
24666228,2.254798534798535,30301,0.30301
24666597,2.2048351648351647,30670,0.30670000000000003
24666966,2.1452014652014655,31039,0.31039
24667335,2.080732600732601,31408,0.31408
24667709,2.0106227106227106,31782,0.31782000000000005
24668078,1.9356776556776556,32151,0.32151
24668447,1.8567032967032966,32520,0.32520000000000004
24668815,1.7785347985347983,32888,0.32888
24669185,1.6963369963369963,33258,0.33258000000000004
24669553,1.6117216117216118,33626,0.33626
24669927,1.5254945054945055,34000,0.34
24670296,1.4473260073260072,34369,0.34369000000000005
24670665,1.3667399267399265,34738,0.34738
24671035,1.2909890109890108,35108,0.35108
24671404,1.22007326007326,35477,0.35477000000000003
24671773,1.1547985347985348,35846,0.35846000000000006
24672142,1.1,36215,0.36215
24672511,1.0516483516483517,36584,0.36584000000000005
24672880,1.0049084249084248,36953,0.36953
24673253,0.9750915750915751,37326,0.37326000000000004
24673622,0.9525274725274725,37695,0.37695
24673991,0.9372161172161171,38064,0.38064000000000003
24674360,0.929157509157509,38433,0.38433
24674732,0.9356043956043956,38805,0.38805
24675101,0.9509157509157509,39174,0.39174000000000003
24675470,0.9742857142857142,39543,0.39543000000000006
24675839,1.0073260073260073,39912,0.39912000000000003
24676208,1.0452014652014652,40281,0.40281000000000006
24676577,1.0943589743589743,40650,0.40650000000000003
24676948,1.1572161172161173,41021,0.41021
24677317,1.22007326007326,41390,0.41390000000000005
24677686,1.286153846153846,41759,0.41759
24678058,1.3627106227106225,42131,0.42131
24678427,1.4424908424908425,42500,0.42500000000000004
24678796,1.523076923076923,42869,0.42869
24679165,1.6044688644688643,43238,0.43238000000000004
24679534,1.6890842490842488,43607,0.43607
24679907,1.7753113553113553,43980,0.4398
