timestamp_us,grip_voltage,relative_time_us,relative_time_seconds
103170176,0.005641025641025641,102325,0.102325
103170545,0.012087912087912088,102694,0.102694
103170918,0.011282051282051281,103067,0.10306699999999999
103171287,0.011282051282051281,103436,0.103436
103171655,0.010476190476190476,103804,0.103804
103172024,0.010476190476190476,104173,0.104173
103172393,0.021758241758241755,104542,0.104542
103172762,0.03062271062271062,104911,0.10491099999999999
103173131,0.03062271062271062,105280,0.10528
103173500,0.03304029304029304,105649,0.10564899999999999
103173868,0.028205128205128206,106017,0.106017
103174241,0.031428571428571424,106390,0.10639
103174610,0.03304029304029304,106759,0.10675899999999999
103174979,0.029816849816849816,107128,0.107128
103175348,0.03304029304029304,107497,0.107497
103175721,0.03465201465201465,107870,0.10787
103176090,0.03626373626373627,108239,0.108239
103176458,0.02659340659340659,108607,0.108607
103176827,0.027399267399267395,108976,0.10897599999999999
103177196,0.03304029304029304,109345,0.109345
103177565,0.021758241758241755,109714,0.10971399999999999
103177938,0.031428571428571424,110087,0.11008699999999999
103178307,0.029816849816849816,110456,0.110456
103178675,0.024175824175824177,110824,0.11082399999999999
103179049,0.02901098901098901,111198,0.11119799999999999
103179418,0.017728937728937726,111567,0.111567
103179787,0.02095238095238095,111936,0.111936
103180156,0.01531135531135531,112305,0.11230499999999999
103180524,0.012087912087912088,112673,0.112673
103180897,0.011282051282051281,113046,0.113046
103181266,0.011282051282051281,113415,0.11341499999999999
103181634,0.009670329670329669,113783,0.113783
103182003,0.0032234432234432234,114152,0.11415199999999999
103182372,0.0016117216117216117,114521,0.114521
103182745,0.004835164835164834,114894,0.114894
103183114,0.0,115263,0.11526299999999999
103183482,0.0,115631,0.115631
103183851,0.0,116000,0.11599999999999999
103184220,0.0,116369,0.116369
103184589,0.0,116738,0.116738
103184957,0.0,117106,0.11710599999999999
103185326,0.0,117475,0.117475
103185696,0.0,117845,0.11784499999999999
103186065,0.0,118214,0.118214
103186434,0.0,118583,0.118583
103186802,0.0,118951,0.118951
103187171,0.0,119320,0.11932
103187540,0.0,119689,0.11968899999999999
103187913,0.0,120062,0.12006199999999999
103188281,0.0,120430,0.12043
103188650,0.0,120799,0.12079899999999999
103189019,0.0,121168,0.121168
103189387,0.0,121536,0.12153599999999999
103189756,0.0,121905,0.121905
103190125,0.005641025641025641,122274,0.122274
103190494,0.012087912087912088,122643,0.12264299999999999
103190862,0.010476190476190476,123011,0.123011
103191231,0.005641025641025641,123380,0.12337999999999999
103191600,0.013699633699633697,123749,0.123749
103191969,0.011282051282051281,124118,0.12411799999999999
103192338,0.024175824175824177,124487,0.124487
103192709,0.02901098901098901,124858,0.124858
103193078,0.027399267399267395,125227,0.125227
103193446,0.03545787545787545,125595,0.12559499999999998
103193815,0.02901098901098901,125964,0.125964
103194184,0.028205128205128206,126333,0.126333
103194553,0.03706959706959707,126702,0.12670199999999998
103194926,0.03626373626373627,127075,0.127075
103195295,0.031428571428571424,127444,0.127444
103195664,0.037875457875457874,127813,0.12781299999999998
