timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
132422031,2106,22,7,4,2,5,0.0
132423031,2229,22,7,7,8,5,0.001
132424031,2255,21,3,7,7,7,0.002
132425031,2203,18,5,3,6,6,0.003
132426031,2124,14,6,6,6,7,0.004
132427031,2075,18,7,7,7,7,0.005
132428031,2047,13,6,7,4,3,0.006
132429031,2015,16,7,7,5,5,0.007
132430031,1983,17,5,3,4,6,0.008
132431031,1999,17,4,4,3,8,0.009
132432031,1964,17,6,8,5,5,0.01
132433031,1880,12,5,4,5,5,0.011
132434031,1864,17,5,7,9,5,0.012
132435031,1895,20,5,6,6,7,0.013
132436031,1984,16,5,7,5,3,0.014
132437031,2003,21,7,8,4,4,0.015
132438031,2031,20,4,5,4,4,0.016
132439031,2057,18,5,6,8,6,0.017
132440031,2100,16,3,5,4,7,0.018
132441031,2077,17,4,6,8,4,0.019
132442031,2092,21,6,7,7,8,0.02
132443031,2247,22,6,4,3,6,0.021
132444031,2239,20,6,5,4,4,0.022
132445031,2202,15,7,6,8,5,0.023
132446031,2130,16,6,6,5,6,0.024
132447031,2068,13,4,3,6,7,0.025
132448031,2051,17,6,7,6,5,0.026
132449031,1984,15,6,7,7,7,0.027
132450031,2007,18,7,7,7,6,0.028
132451031,1996,15,7,5,3,5,0.029
132452031,1969,17,4,3,6,5,0.03
132453031,1892,14,7,6,6,7,0.031
132454031,1839,17,5,6,7,5,0.032
132455031,1905,15,8,7,4,2,0.033
132456031,1953,22,7,8,4,4,0.034
132457031,2000,20,5,4,7,7,0.035
132458031,2048,19,7,5,4,3,0.036
132459031,2079,21,6,7,8,6,0.037
132460031,2079,15,5,3,6,8,0.038
132461031,2052,19,6,8,4,3,0.039
132462031,2132,17,4,6,8,5,0.04
132463031,2234,21,6,7,4,5,0.041
132464031,2201,18,7,5,2,6,0.042
132465031,2226,16,3,4,6,7,0.043
132466031,2108,14,4,3,7,6,0.044
132467031,2090,15,5,4,3,6,0.045
132468031,2031,18,6,7,7,6,0.046
132469031,2007,17,5,5,5,2,0.047
132470031,2008,14,5,5,6,7,0.048
132471031,1980,18,7,6,8,4,0.049
