time_s,ch0
0.0,0.0
0.001,0.6180339887498948
0.002,1.1755705045849463
0.003,1.618033988749895
0.004,1.902113032590307
0.005,2.0
0.006,1.902113032590307
0.007,1.618033988749895
0.008,1.1755705045849465
0.009000000000000001,0.6180339887498942
0.01,2.4492935982947064e-16
0.011,-0.6180339887498946
0.012,-1.1755705045849467
0.013000000000000001,-1.6180339887498958
0.014,-1.902113032590307
0.015,-2.0
0.016,-1.9021130325903073
0.017,-1.618033988749894
0.018000000000000002,-1.1755705045849452
0.019,-0.6180339887498952
0.02,-4.898587196589413e-16
0.021,0.618033988749896
0.022,1.1755705045849458
0.023,1.6180339887498945
0.024,1.9021130325903075
0.025,2.0
0.026000000000000002,1.9021130325903062
0.027,1.6180339887498953
0.028,1.1755705045849467
0.029,0.6180339887498956
0.03,7.347880794884119e-16
0.031,-0.6180339887498941
0.032,-1.1755705045849456
0.033,-1.6180339887498965
0.034,-1.902113032590308
0.035,-2.0
0.036000000000000004,-1.9021130325903064
0.037,-1.6180339887498953
0.038,-1.175570504584947
0.039,-0.6180339887498958
0.04,-9.797174393178826e-16
0.041,0.6180339887498972
0.042,1.1755705045849483
0.043000000000000003,1.6180339887498962
0.044,1.9021130325903068
0.045,2.0
0.046,1.9021130325903075
0.047,1.6180339887498956
0.048,1.1755705045849443
0.049,0.6180339887498926
0.05,-2.328066879653148e-15
0.051000000000000004,-0.618033988749897
0.052000000000000005,-1.175570504584951
0.053,-1.6180339887498962
0.054,-1.9021130325903068
0.055,-2.0
0.056,-1.9021130325903075
0.057,-1.6180339887498936
0.058,-1.1755705045849474
0.059000000000000004,-0.6180339887498928
0.06,-1.4695761589768238e-15
0.061,0.6180339887498968
0.062,1.175570504584945
0.063,1.618033988749896
0.064,1.9021130325903066
0.065,2.0
0.066,1.9021130325903055
0.067,1.6180339887498938
0.068,1.1755705045849418
0.069,0.6180339887498931
0.07,-5.3909218387947074e-15
0.07100000000000001,-0.6180339887498966
0.07200000000000001,-1.1755705045849505
0.073,-1.6180339887498918
0.074,-1.9021130325903066
0.075,-2.0
0.076,-1.9021130325903077
0.077,-1.6180339887498938
0.078,-1.1755705045849478
0.079,-0.6180339887498933
0.08,-1.959434878635765e-15
0.081,0.6180339887498963
0.082,1.1755705045849503
0.083,1.6180339887498958
0.084,1.9021130325903086
0.085,2.0
0.08600000000000001,1.9021130325903055
0.08700000000000001,1.6180339887498898
0.088,1.175570504584948
0.089,0.6180339887499003
0.09,2.204364238465236e-15
0.091,-0.6180339887498961
0.092,-1.1755705045849445
0.093,-1.6180339887498956
0.094,-1.9021130325903064
0.095,-2.0
0.096,-1.9021130325903057
0.097,-1.6180339887498942
0.098,-1.1755705045849425
0.099,-0.6180339887498938
0.1,4.656133759306296e-15
0.101,0.6180339887498959
0.10200000000000001,1.17557050458495
0.10300000000000001,1.6180339887498996
0.10400000000000001,1.9021130325903108
0.105,2.0
0.106,1.9021130325903057
0.107,1.6180339887498985
0.108,1.1755705045849485
0.109,0.618033988749894
0.11,-4.411204399476825e-15
0.111,-0.6180339887499025
0.112,-1.175570504584944
0.113,-1.6180339887498953
0.114,-1.9021130325903084
0.115,-2.0
0.116,-1.902113032590308
0.117,-1.6180339887498945
0.11800000000000001,-1.175570504584943
0.11900000000000001,-0.6180339887498875
0.12,-2.9391523179536475e-15
0.121,0.6180339887498955
0.122,1.1755705045849496
0.123,1.618033988749891
0.124,1.9021130325903062
0.125,2.0
0.126,1.902113032590306
0.127,1.6180339887498905
0.128,1.1755705045849487
0.129,0.6180339887498945
0.13,-3.921345679817883e-15
0.131,-0.6180339887499019
0.132,-1.1755705045849552
0.133,-1.6180339887498951
0.134,-1.9021130325903084
0.135,-2.0
0.136,-1.9021130325903037
0.137,-1.6180339887498947
0.138,-1.1755705045849432
0.139,-0.6180339887498879
0.14,1.0781843677589415e-14
0.14100000000000001,0.6180339887499084
0.14200000000000002,1.1755705045849492
0.14300000000000002,1.6180339887498991
0.14400000000000002,1.9021130325903104
0.145,2.0
0.146,1.9021130325903104
0.147,1.6180339887498991
0.148,1.1755705045849492
0.149,0.6180339887498949
0.15,-3.4314869601589423e-15
0.151,-0.6180339887498879
0.152,-1.1755705045849432
0.153,-1.6180339887498947
0.154,-1.9021130325903082
0.155,-2.0
0.156,-1.9021130325903084
0.157,-1.6180339887498951
0.158,-1.1755705045849436
0.159,-0.6180339887498885
0.16,-3.91886975727153e-15
0.161,0.6180339887498945
0.162,1.1755705045849487
0.163,1.6180339887498987
0.164,1.9021130325903104
0.165,2.0
0.166,1.9021130325903062
0.167,1.618033988749891
0.168,1.175570504584938
0.169,0.6180339887498819
0.17,-2.941628240500001e-15
0.171,-0.618033988749901
0.17200000000000001,-1.1755705045849543
0.17300000000000001,-1.618033988749903
0.17400000000000002,-1.9021130325903124
0.17500000000000002,-2.0
0.176,-1.9021130325903084
0.177,-1.6180339887498953
0.178,-1.1755705045849556
0.179,-0.6180339887499025
0.18,-4.408728476930472e-15
0.181,0.618033988749894
0.182,1.1755705045849485
0.183,1.61803398874989
0.184,1.9021130325903057
0.185,2.0
0.186,1.9021130325903064
0.187,1.6180339887498913
0.188,1.17557050458495
0.189,0.6180339887498959
0.19,-2.45176952084106e-15
0.191,-0.6180339887499006
0.192,-1.175570504584954
0.193,-1.6180339887498942
0.194,-1.902113032590308
0.195,-2.0
0.196,-1.9021130325903042
0.197,-1.6180339887498874
0.198,-1.1755705045849445
0.199,-0.6180339887498894
0.2,9.312267518612591e-15
0.201,0.6180339887499071
0.202,1.175570504584948
0.203,1.6180339887498982
0.20400000000000001,1.90211303259031
0.20500000000000002,2.0
0.20600000000000002,1.9021130325903022
0.20700000000000002,1.6180339887498831
0.20800000000000002,1.1755705045849274
0.209,0.6180339887498963
0.21,-1.9619108011821185e-15
0.211,-0.6180339887499001
0.212,-1.1755705045849536
0.213,-1.6180339887498856
0.214,-1.9021130325903033
0.215,-2.0
0.216,-1.9021130325903088
0.217,-1.6180339887498958
0.218,-1.1755705045849447
0.219,-0.6180339887498898
0.22,8.82240879895365e-15
0.221,0.6180339887499066
0.222,1.1755705045849592
0.223,1.6180339887498896
0.224,1.9021130325903055
0.225,2.0
0.226,1.9021130325903066
0.227,1.6180339887498918
0.228,1.1755705045849392
0.229,0.6180339887498832
0.23,-1.5682906796725182e-14
0.231,-0.6180339887499131
0.232,-1.1755705045849416
0.233,-1.6180339887498936
0.234,-1.9021130325903075
0.23500000000000001,-2.0
0.23600000000000002,-1.9021130325903046
0.23700000000000002,-1.6180339887498878
0.23800000000000002,-1.1755705045849338
0.23900000000000002,-0.6180339887498768
0.24,-5.878304635907295e-15
0.241,0.6180339887498926
0.242,1.1755705045849472
0.243,1.6180339887498976
0.244,1.9021130325903097
0.245,2.0
0.246,1.9021130325903113
0.247,1.6180339887499005
0.248,1.1755705045849512
0.249,0.6180339887498972
0.25,-9.82193361864236e-16
0.251,-0.6180339887498991
0.252,-1.1755705045849527
0.253,-1.6180339887499016
0.254,-1.9021130325903117
0.255,-2.0
0.256,-1.902113032590309
0.257,-1.6180339887498965
0.258,-1.1755705045849456
0.259,-0.6180339887498908
0.26,7.842691359635767e-15
0.261,0.6180339887499057
0.262,1.1755705045849583
0.263,1.6180339887499058
0.264,1.902113032590314
0.265,2.0
0.266,1.902113032590307
0.267,1.6180339887498925
0.268,1.17557050458494
0.269,0.6180339887498842
0.27,-1.4703189357407298e-14
0.271,-0.6180339887499122
0.272,-1.1755705045849638
0.273,-1.6180339887499098
0.274,-1.9021130325903073
0.275,-2.0
0.276,-1.9021130325903048
0.277,-1.6180339887498885
0.278,-1.1755705045849345
0.279,-0.6180339887498777
0.28,2.156368735517883e-14
0.281,0.6180339887499187
0.28200000000000003,1.1755705045849694
0.28300000000000003,1.6180339887499138
0.28400000000000003,1.9021130325903093
0.28500000000000003,2.0
0.28600000000000003,1.9021130325903026
0.28700000000000003,1.6180339887498845
0.28800000000000003,1.175570504584929
0.289,0.6180339887498982
0.29,-2.475922546353431e-18
0.291,-0.6180339887498711
0.292,-1.175570504584929
0.293,-1.6180339887498845
0.294,-1.9021130325903026
0.295,-2.0
0.296,-1.9021130325903093
0.297,-1.6180339887498971
0.298,-1.1755705045849465
0.299,-0.6180339887498917
0.3,6.8629739203178846e-15
0.301,0.6180339887498777
0.302,1.1755705045849345
0.303,1.6180339887498885
0.304,1.9021130325903048
0.305,2.0
0.306,1.9021130325903073
0.307,1.618033988749893
0.308,1.175570504584941
0.309,0.6180339887498851
0.31,-1.3723471918089415e-14
0.311,-0.6180339887498842
0.312,-1.17557050458494
0.313,-1.6180339887498925
0.314,-1.902113032590307
0.315,-2.0
0.316,-1.902113032590305
0.317,-1.618033988749889
0.318,-1.1755705045849354
0.319,-0.6180339887498786
0.32,-7.83773951454306e-15
0.321,0.6180339887498908
0.322,1.1755705045849456
0.323,1.6180339887498965
0.324,1.902113032590309
0.325,2.0
0.326,1.902113032590303
0.327,1.618033988749885
0.328,1.1755705045849298
0.329,0.6180339887498721
0.33,9.772415167715292e-16
0.331,-0.6180339887498972
0.332,-1.1755705045849512
0.333,-1.6180339887499005
0.334,-1.9021130325903113
0.335,-2.0
0.336,-1.9021130325903008
0.337,-1.618033988749881
0.338,-1.1755705045849243
0.339,-0.6180339887498926
0.34,5.883256481000002e-15
0.341,0.6180339887499038
0.342,1.1755705045849567
0.343,1.6180339887499045
0.34400000000000003,1.9021130325903133
0.34500000000000003,2.0
0.34600000000000003,1.9021130325902988
0.34700000000000003,1.618033988749877
0.34800000000000003,1.1755705045849187
0.34900000000000003,0.6180339887498861
0.35000000000000003,-1.2743754478771533e-14
0.35100000000000003,-0.6180339887499103
0.352,-1.1755705045849394
0.353,-1.6180339887498918
0.354,-1.9021130325903066
0.355,-2.0
0.356,-1.9021130325903142
0.357,-1.6180339887499062
0.358,-1.1755705045849592
0.359,-0.6180339887499066
0.36,-8.817456953860943e-15
0.361,0.6180339887498898
0.362,1.175570504584945
0.363,1.6180339887498958
0.364,1.9021130325903088
0.365,2.0
0.366,1.9021130325903122
0.367,1.6180339887499022
0.368,1.1755705045849536
0.369,0.6180339887499
0.37,1.9569589560894117e-15
0.371,-0.6180339887498963
0.372,-1.1755705045849505
0.373,-1.6180339887499
0.374,-1.9021130325903108
0.375,-2.0
0.376,-1.90211303259031
0.377,-1.6180339887498982
0.378,-1.175570504584948
0.379,-0.6180339887498936
0.38,4.90353904168212e-15
0.381,0.6180339887499029
0.382,1.175570504584956
0.383,1.618033988749904
0.384,1.902113032590313
0.385,2.0
0.386,1.902113032590308
0.387,1.6180339887498942
0.388,1.1755705045849425
0.389,0.618033988749887
0.39,-1.1764037039453651e-14
0.391,-0.6180339887499094
0.392,-1.1755705045849616
0.393,-1.618033988749908
0.394,-1.902113032590315
0.395,-2.0
0.396,-1.9021130325903057
0.397,-1.61803398874989
0.398,-1.175570504584937
0.399,-0.6180339887498805
0.4,1.8624535037225183e-14
0.401,0.6180339887499159
0.402,1.175570504584967
0.403,1.618033988749912
0.404,1.9021130325903084
0.405,2.0
0.406,1.9021130325903037
0.40700000000000003,1.618033988749886
0.40800000000000003,1.1755705045849314
0.40900000000000003,0.618033988749901
0.41000000000000003,-2.5485033034996715e-14
0.41100000000000003,-0.6180339887498955
0.41200000000000003,-1.1755705045849725
0.41300000000000003,-1.6180339887498993
0.41400000000000003,-1.9021130325903193
0.41500000000000004,-2.0
0.41600000000000004,-1.9021130325902926
0.417,-1.6180339887499156
0.418,-1.1755705045849487
0.419,-0.6180339887499215
0.42,3.923821602364237e-15
0.421,0.6180339887498749
0.422,1.1755705045849552
0.423,1.6180339887498867
0.424,1.9021130325903126
0.425,2.0
0.426,1.902113032590317
0.427,1.6180339887498947
0.428,1.1755705045849663
0.429,0.6180339887498879
0.43,1.763738983026824e-14
0.431,-0.6180339887499084
0.432,-1.1755705045849376
0.433,-1.6180339887499073
0.434,-1.902113032590306
0.435,-2.0
0.436,-1.902113032590306
0.437,-1.6180339887499073
0.438,-1.1755705045849376
0.439,-0.6180339887499084
0.44,1.76448175979073e-14
0.441,0.6180339887498879
0.442,1.1755705045849663
0.443,1.6180339887498947
0.444,1.902113032590317
0.445,2.0
0.446,1.9021130325903126
0.447,1.6180339887498867
0.448,1.1755705045849552
0.449,0.6180339887498749
0.45,3.9163938347251765e-15
0.451,-0.6180339887499215
0.452,-1.1755705045849487
0.453,-1.6180339887499156
0.454,-1.9021130325903104
0.455,-2.0
0.456,-1.9021130325903017
0.457,-1.6180339887498993
0.458,-1.1755705045849265
0.459,-0.6180339887498955
0.46,3.1365813593450365e-14
0.461,0.618033988749901
0.462,1.1755705045849774
0.463,1.618033988749903
0.464,1.9021130325903037
0.465,2.0
0.466,1.9021130325903084
0.467,1.6180339887498787
0.468,1.175570504584944
0.46900000000000003,0.6180339887498618
0.47000000000000003,-9.804602160817886e-15
0.47100000000000003,-0.6180339887499345
0.47200000000000003,-1.1755705045849598
0.47300000000000003,-1.6180339887499235
0.47400000000000003,-1.9021130325903146
0.47500000000000003,-2.0
0.47600000000000003,-1.9021130325902975
0.47700000000000004,-1.6180339887498913
0.47800000000000004,-1.1755705045849154
0.47900000000000004,-0.6180339887498824
0.48,-1.175660927181459e-14
0.481,0.61803398874986
0.482,1.1755705045849425
0.483,1.6180339887498774
0.484,1.902113032590308
0.485,2.0
0.486,1.9021130325903042
0.487,1.618033988749904
0.488,1.175570504584933
0.489,0.6180339887499029
0.49,-2.352559815636095e-14
0.491,-0.6180339887498936
0.492,-1.175570504584925
0.493,-1.6180339887498982
0.494,-1.9021130325903013
0.495,-2.0
0.496,-1.9021130325903108
0.497,-1.6180339887498831
0.498,-1.1755705045849503
0.499,-0.6180339887498693
0.5,1.964386723728472e-15
0.501,0.618033988749873
0.502,1.1755705045849536
0.503,1.6180339887498856
0.504,1.9021130325903122
0.505,2.0
0.506,1.9021130325903
0.507,1.6180339887498958
0.508,1.1755705045849218
0.509,0.6180339887498898
0.51,1.9596824708904003e-14
0.511,-0.6180339887499066
0.512,-1.175570504584936
0.513,-1.6180339887499062
0.514,-1.9021130325903055
0.515,-2.0
0.516,-1.9021130325903066
0.517,-1.6180339887498751
0.518,-1.1755705045849392
0.519,-0.6180339887498563
0.52,1.5685382719271533e-14
0.521,0.6180339887498861
0.522,1.1755705045849647
0.523,1.6180339887498936
0.524,1.9021130325903164
0.525,2.0
0.526,1.9021130325902957
0.527,1.6180339887498878
0.528,1.1755705045849107
0.529,0.6180339887498768
0.53,5.875828713360942e-15
0.531,-0.6180339887499197
0.532,-1.1755705045849472
0.533,-1.6180339887499142
0.534,-1.9021130325903097
0.535,-2.0
0.536,-1.9021130325903024
0.537,-1.6180339887498671
0.538,-1.175570504584928
0.539,-0.6180339887498972
0.54,2.9406378714814596e-14
0.541,0.6180339887498991
0.542,1.1755705045849758
0.543,1.6180339887499016
0.544,1.9021130325903206
0.545,2.0
0.546,1.9021130325902915
0.547,1.6180339887498798
0.548,1.1755705045849456
0.549,0.6180339887498637
0.55,-7.84516728218212e-15
0.551,-0.6180339887499327
0.552,-1.1755705045849583
0.553,-1.6180339887499224
0.554,-1.902113032590314
0.555,-2.0
0.556,-1.9021130325902982
0.557,-1.618033988749859
0.558,-1.1755705045849172
0.559,-0.6180339887498842
0.56,4.312737471035766e-14
0.561,0.6180339887499122
0.562,1.175570504584987
0.5630000000000001,1.6180339887499098
0.5640000000000001,1.9021130325903248
0.5650000000000001,2.0
0.5660000000000001,1.9021130325902873
0.5670000000000001,1.6180339887498716
0.5680000000000001,1.1755705045849345
0.5690000000000001,0.6180339887498507
0.5700000000000001,-2.1566163277725183e-14
0.5710000000000001,-0.6180339887499458
0.5720000000000001,-1.1755705045849694
0.5730000000000001,-1.6180339887499304
0.5740000000000001,-1.9021130325903182
0.5750000000000001,-2.0
0.5760000000000001,-1.902113032590294
0.577,-1.6180339887499178
0.578,-1.175570504584952
0.579,-0.6180339887499252
0.58,4.951845092706862e-18
0.581,0.6180339887498711
0.582,1.175570504584906
0.583,1.6180339887498845
0.584,1.902113032590294
0.585,2.0
0.586,1.9021130325903182
0.587,1.6180339887498971
0.588,1.1755705045849694
0.589,0.6180339887498917
0.59,2.1556259587539768e-14
0.591,-0.6180339887499048
0.592,-1.1755705045849345
0.593,-1.6180339887498716
0.594,-1.9021130325903048
0.595,-2.0
0.596,-1.9021130325903073
0.597,-1.6180339887499098
0.598,-1.175570504584941
0.599,-0.6180339887499122
0.6,1.3725947840635769e-14
0.601,0.6180339887498842
0.602,1.1755705045849172
0.603,1.6180339887498925
0.604,1.9021130325902982
0.605,2.0
0.606,1.902113032590314
0.607,1.618033988749889
0.608,1.1755705045849583
0.609,0.6180339887498786
0.61,7.835263591996707e-15
0.611,-0.6180339887498637
0.612,-1.1755705045849456
0.613,-1.6180339887498798
0.614,-1.902113032590309
0.615,-2.0
0.616,-1.902113032590303
0.617,-1.6180339887499016
0.618,-1.1755705045849298
0.619,-0.6180339887498991
0.62,2.744694383617883e-14
0.621,0.6180339887498972
0.622,1.1755705045849283
0.623,1.6180339887499005
0.624,1.9021130325903024
0.625,2.0
0.626,1.9021130325903097
0.627,1.618033988749881
0.628,1.1755705045849472
0.629,0.6180339887498656
0.63,-5.885732403546356e-15
