timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
37024,2767,28,6,6,7,7,0.0
46138024,2802,21,4,3,4,2,46.101
46139025,2783,18,5,4,3,6,46.102001
46140024,2459,10,5,4,4,3,46.103
46141024,2256,8,3,7,8,6,46.104
46142024,2156,11,4,4,5,6,46.105
46143024,1834,4,3,6,7,6,46.106
46144024,1670,9,3,5,5,5,46.107
46145024,1598,14,7,6,7,6,46.108
46146024,1504,10,6,7,7,7,46.109
46147025,1364,8,3,6,6,6,46.110001
46148024,1323,15,6,4,4,5,46.111
46149024,1376,18,5,4,5,7,46.112
46150024,1663,25,7,8,5,7,46.113
46151025,1856,23,8,6,7,7,46.114001
46152024,1976,24,7,7,6,7,46.115
46153024,2250,28,7,4,2,5,46.116
46154024,2388,23,5,3,7,6,46.117
46155025,2468,24,6,6,4,2,46.118001
46156024,2619,27,6,5,3,6,46.119
46157024,2799,27,6,7,6,3,46.12
46158024,2839,24,3,4,2,3,46.121
46159025,2747,19,4,3,6,4,46.122001
46160024,2456,9,3,4,4,4,46.123
46161024,2260,9,3,6,8,5,46.124
46162024,2136,10,6,7,7,6,46.125
46163024,1808,5,4,5,4,5,46.126
46164024,1675,12,6,8,6,8,46.127
46165024,1625,12,7,6,7,6,46.128
46166024,1487,13,6,7,8,6,46.129
46167025,1338,8,5,6,7,7,46.130001
46168024,1299,14,5,7,4,3,46.131
46169024,1379,15,6,7,5,5,46.132
46170024,1636,23,8,7,7,7,46.133
46171025,1855,27,7,7,7,4,46.134001
46172024,1959,24,6,6,5,3,46.135
46173024,2268,26,6,5,4,6,46.136
46174024,2399,24,4,5,7,6,46.137
46175025,2464,21,4,4,4,4,46.138001
46176024,2607,25,7,8,6,7,46.139
46177024,2780,25,5,3,8,3,46.14
46178024,2815,24,6,7,4,3,46.141
46179025,2748,17,3,4,4,3,46.142001
46180024,2483,12,4,5,6,7,46.143
46181024,2287,10,6,7,8,4,46.144
46182024,2112,11,5,5,4,6,46.145
46183025,1816,7,5,5,4,6,46.146001
46184024,1711,12,3,6,7,6,46.147
46185024,1616,12,6,7,7,7,46.148
46186024,1480,10,7,7,7,7,46.149
46187025,1329,9,5,6,7,7,46.150001
46188024,1316,12,5,7,8,6,46.151
46189024,1375,19,8,6,6,8,46.152
46190024,1637,25,7,8,5,6,46.153
46191025,1859,24,6,7,8,6,46.154001
46192024,2000,22,6,5,5,6,46.155
46193024,2243,28,7,5,4,5,46.156
46194024,2380,26,7,4,4,5,46.157
46195025,2468,23,5,6,8,6,46.158001
46196024,2603,25,6,7,7,8,46.159
46197024,2772,25,5,3,5,4,46.16
46198024,2807,24,6,6,5,6,46.161
46199025,2759,19,4,3,6,7,46.162001
46200024,2488,8,4,6,5,4,46.163
46201024,2264,9,6,6,6,7,46.164
46202024,2124,11,6,6,5,3,46.165
46203024,1831,7,6,6,7,7,46.166
46204024,1692,8,3,6,5,5,46.167
46205024,1607,12,6,5,3,8,46.168
46206024,1504,11,5,5,6,7,46.169
46207025,1364,7,7,8,7,6,46.170001
46208024,1316,13,6,6,7,5,46.171
46209024,1367,17,5,5,3,5,46.172
46210024,1678,25,6,7,6,4,46.173
46211025,1853,22,6,7,5,3,46.174001
46212024,1967,22,5,4,2,8,46.175
46213024,2232,26,7,7,6,6,46.176
46214024,2408,24,4,3,5,3,46.177
46215025,2487,24,6,7,6,7,46.178001
46216024,2591,23,6,5,2,4,46.179
46217024,2768,27,5,6,7,4,46.18
46218024,2832,22,4,4,2,5,46.181
46219025,2751,19,6,7,6,6,46.182001
46220024,2449,8,3,6,6,6,46.183
46221024,2244,9,4,3,4,2,46.184
46222024,2139,13,5,6,5,4,46.185
46223024,1830,5,6,7,7,7,46.186
46224024,1663,8,5,6,6,6,46.187
46225024,1600,13,7,8,5,5,46.188
46226024,1524,11,5,4,6,8,46.189
46227025,1356,9,4,5,6,6,46.190001
46228024,1296,11,5,6,8,3,46.191
46229024,1375,18,7,9,4,5,46.192
46230024,1668,23,7,7,7,7,46.193
46231025,1851,26,7,5,5,5,46.194001
46232024,1980,22,5,4,6,7,46.195
46233024,2259,29,7,9,7,7,46.196
46234024,2392,24,6,4,6,6,46.197
46235025,2443,23,7,5,7,6,46.198001
46236024,2603,27,7,7,8,4,46.199
46237024,2783,27,5,3,5,3,46.2
46238024,2818,22,4,4,2,5,46.201
46239025,2752,18,5,4,3,5,46.202001
46240024,2431,11,4,6,8,3,46.203
46241024,2232,6,5,6,7,8,46.204
46242024,2122,12,3,7,7,7,46.205
46243024,1796,5,3,5,3,6,46.206
46244024,1656,7,7,7,7,5,46.207
46245024,1592,11,6,5,3,7,46.208
46246024,1474,13,5,6,9,3,46.209
46247025,1343,12,7,8,3,6,46.210001
46248024,1313,13,7,5,4,4,46.211
46249024,1363,19,8,6,8,5,46.212
46250024,1635,25,7,8,5,6,46.213
46251025,1818,24,5,4,6,8,46.214001
46252024,1970,23,7,7,6,4,46.215
46253024,2239,26,7,4,3,6,46.216
46254024,2375,23,6,7,8,2,46.217
46255025,2423,23,7,4,2,5,46.218001
46256024,2591,25,4,3,5,2,46.219
46257024,2807,28,4,4,3,6,46.22
46258024,2796,21,6,6,7,6,46.221
46259025,2736,18,7,7,6,5,46.222001
46260024,2432,9,2,6,4,3,46.223
46261024,2236,9,3,4,3,6,46.224
46262024,2087,13,6,6,7,6,46.225
46263024,1800,4,3,5,5,4,46.226
46264024,1671,11,7,7,8,6,46.227
46265024,1591,11,6,7,8,6,46.228
46266024,1464,10,7,7,5,4,46.229
46267025,1323,12,4,3,6,9,46.230001
46268024,1281,12,6,7,5,4,46.231
46269024,1350,19,6,7,7,9,46.232
46270024,1632,24,5,4,3,6,46.233
46271025,1831,25,7,7,7,4,46.234001
46272024,1959,24,5,4,3,6,46.235
46273024,2240,26,6,6,6,4,46.236
46274024,2370,24,4,3,6,6,46.237
46275025,2452,21,4,6,4,2,46.238001
46276024,2583,25,6,7,5,3,46.239
46277024,2760,25,4,5,2,8,46.24
46278024,2816,22,5,4,3,6,46.241
46279025,2751,19,5,4,6,6,46.242001
46280024,2448,7,4,4,4,2,46.243
46281024,2223,12,4,3,8,5,46.244
46282024,2088,10,4,5,5,5,46.245
46283025,1799,7,6,7,7,6,46.246001
46284024,1654,8,4,4,5,3,46.247
46285024,1571,13,5,7,8,6,46.248
46286024,1476,9,5,4,3,8,46.249
46287024,1331,11,6,9,6,7,46.25
46288025,1295,13,6,7,8,3,46.251001
46289024,1358,16,6,6,5,7,46.252
46290024,1663,26,8,5,5,7,46.253
46291024,1848,24,6,8,6,8,46.254
46292025,1954,24,7,6,8,4,46.255001
46293024,2226,28,7,5,5,5,46.256
46294024,2391,24,4,4,6,7,46.257
46295024,2440,19,7,6,6,3,46.258
46296025,2560,23,6,6,6,4,46.259001
46297024,2769,27,6,7,6,6,46.26
46298024,2842,24,6,6,4,3,46.261
46299024,2692,15,5,4,3,7,46.262
46300025,2431,11,5,6,7,6,46.263001
46301024,2226,8,5,4,3,6,46.264
46302024,2088,9,4,7,7,4,46.265
46303024,1776,7,6,6,5,4,46.266
46304024,1646,10,5,5,3,8,46.267
46305025,1606,11,5,5,4,5,46.268001
46306024,1491,12,5,6,7,6,46.269
46307024,1334,10,6,6,7,7,46.27
46308024,1284,12,6,7,7,7,46.271
46309025,1370,18,7,7,7,7,46.272001
46310024,1651,25,8,4,3,7,46.273
46311024,1836,25,7,8,6,6,46.274
46312024,1968,23,7,7,8,4,46.275
46313025,2236,27,7,6,6,6,46.276001
46314024,2378,27,7,6,6,6,46.277
46315024,2453,22,6,6,6,3,46.278
46316024,2584,24,6,6,6,6,46.279
46317025,2765,28,5,4,3,5,46.280001
46318024,2782,22,4,6,7,5,46.281
46319024,2711,20,4,3,6,4,46.282
46320024,2435,10,4,5,4,4,46.283
46321025,2234,10,5,6,7,7,46.284001
46322024,2071,11,6,6,6,6,46.285
46323024,1791,7,3,5,3,7,46.286
46324024,1649,9,4,5,6,4,46.287
46325024,1592,11,6,6,8,4,46.288
46326025,1443,12,5,5,3,8,46.289001
46327024,1301,9,7,8,6,6,46.29
46328024,1279,12,4,6,9,4,46.291
46329024,1351,16,7,7,6,8,46.292
